,3
age,-1.0917573352506291
monthly_income,-0.9153747659136526
occupation_type_专业人士,0.0
occupation_type_事业单位,0.0
occupation_type_互联网从业者,1.0
occupation_type_企业高管,0.0
occupation_type_传统行业,0.0
occupation_type_私营业主,0.0
occupation_type_金融从业者,0.0
city_level_一线城市,1.0
city_level_二线城市,0.0
marriage_status_已婚,1.0
marriage_status_未婚,0.0
lifecycle_stage_价值客户,0.0
lifecycle_stage_忠诚客户,0.0
lifecycle_stage_成熟客户,0.0
lifecycle_stage_成长客户,0.0
lifecycle_stage_新客户,1.0
total_assets,-0.7939727901187935
deposit_balance,-0.7545261905200079
financial_balance,-0.7946028747671684
fund_balance,-0.7919566403259928
insurance_balance,-0.7076088831440237
product_count,0.486571598872663
investment_monthly_count,-0.6147133984007888
app_login_count,0.9514718425241576
app_financial_view_time,0.670652391359975
financial_repurchase_count,-0.3695946105523208
credit_card_monthly_expense,-0.9847765018870008
asset_growth_rate,1.69429087998754
asset_mom_change,-0.6841432572275273
asset_cumulative_growth,-0.6780544055617219
total_assets_rolling_mean,-0.6460884286901335
total_assets_rolling_max,-0.6473887791313055
total_assets_rolling_std,-0.526016906908446
financial_balance_rolling_mean,-0.6453579796963814
financial_balance_rolling_max,-0.6420837849981156
financial_balance_rolling_std,-0.5268419358655253
fund_balance_rolling_mean,-0.647755274071837
fund_balance_rolling_max,-0.6508618927242225
fund_balance_rolling_std,-0.5636042279359409
target_high_value,0
customer_id,0007100c0acf4e80b4810ef490c18310
stat_month,2024-10
predicted_prob,0.008080457515797591
predicted_class,0
actual_class,0
base_score,-3.4842863370189954
