,1
age,0.3645848681860669
monthly_income,1.3754263006915235
occupation_type_专业人士,1.0
occupation_type_事业单位,0.0
occupation_type_互联网从业者,0.0
occupation_type_企业高管,0.0
occupation_type_传统行业,0.0
occupation_type_私营业主,0.0
occupation_type_金融从业者,0.0
city_level_一线城市,1.0
city_level_二线城市,0.0
marriage_status_已婚,1.0
marriage_status_未婚,0.0
lifecycle_stage_价值客户,0.0
lifecycle_stage_忠诚客户,1.0
lifecycle_stage_成熟客户,0.0
lifecycle_stage_成长客户,0.0
lifecycle_stage_新客户,0.0
total_assets,3.701779990903471
deposit_balance,3.075478884323227
financial_balance,3.1550760246862515
fund_balance,5.800343554591496
insurance_balance,2.640149412356748
product_count,2.8778479543873066
investment_monthly_count,1.6325480454756047
app_login_count,-0.7588446023884654
app_financial_view_time,-0.2154288649651567
financial_repurchase_count,-0.3695946105523208
credit_card_monthly_expense,-0.9847765018870008
asset_growth_rate,-1.2032562415802617
asset_mom_change,-1.6964901256658935
asset_cumulative_growth,-0.1240389751182353
total_assets_rolling_mean,4.102879344346567
total_assets_rolling_max,4.050567139392392
total_assets_rolling_std,0.0628378500312667
financial_balance_rolling_mean,3.502648212938944
financial_balance_rolling_max,3.3648668073934918
financial_balance_rolling_std,1.8624248171972295
fund_balance_rolling_mean,5.474028465020851
fund_balance_rolling_max,5.609671088643838
fund_balance_rolling_std,6.26759524058129
target_high_value,1
customer_id,0001406853e04c14b9f29703c9e46674
stat_month,2024-10
predicted_prob,0.960329507448983
predicted_class,1
actual_class,1
base_score,-3.4842863370189954
