,42
age,0.6766581974939303
monthly_income,-0.603230505060491
occupation_type_专业人士,0.0
occupation_type_事业单位,0.0
occupation_type_互联网从业者,0.0
occupation_type_企业高管,0.0
occupation_type_传统行业,0.0
occupation_type_私营业主,1.0
occupation_type_金融从业者,0.0
city_level_一线城市,0.0
city_level_二线城市,1.0
marriage_status_已婚,1.0
marriage_status_未婚,0.0
lifecycle_stage_价值客户,1.0
lifecycle_stage_忠诚客户,0.0
lifecycle_stage_成熟客户,0.0
lifecycle_stage_成长客户,0.0
lifecycle_stage_新客户,0.0
total_assets,1.026816258404477
deposit_balance,1.4315923838958375
financial_balance,0.7746314556788355
fund_balance,0.3469304723531864
insurance_balance,0.9939667414391592
product_count,-0.709066578884659
investment_monthly_count,-0.6147133984007888
app_login_count,-0.4167813134059407
app_financial_view_time,-0.4394381713394877
financial_repurchase_count,-0.3695946105523208
credit_card_monthly_expense,-0.1863803682907975
asset_growth_rate,-1.2082143202586544
asset_mom_change,-1.223835884097668
asset_cumulative_growth,-1.032736814116609
total_assets_rolling_mean,1.2877543186058429
total_assets_rolling_max,1.26396856119614
total_assets_rolling_std,-0.4292850180324495
financial_balance_rolling_mean,1.1790261304873098
financial_balance_rolling_max,1.3445536536985518
financial_balance_rolling_std,2.0694205761899287
fund_balance_rolling_mean,0.8057004418591425
fund_balance_rolling_max,0.8120035850745302
fund_balance_rolling_std,0.8394419601262589
target_high_value,1
customer_id,007076ddb457487a825315b2eba7c585
stat_month,2024-09
predicted_prob,0.9585923459530054
predicted_class,1
actual_class,1
base_score,-3.4842863370189954
