,0
age,0.3645848681860669
monthly_income,1.3754263006915235
occupation_type_专业人士,1.0
occupation_type_事业单位,0.0
occupation_type_互联网从业者,0.0
occupation_type_企业高管,0.0
occupation_type_传统行业,0.0
occupation_type_私营业主,0.0
occupation_type_金融从业者,0.0
city_level_一线城市,1.0
city_level_二线城市,0.0
marriage_status_已婚,1.0
marriage_status_未婚,0.0
lifecycle_stage_价值客户,0.0
lifecycle_stage_忠诚客户,1.0
lifecycle_stage_成熟客户,0.0
lifecycle_stage_成长客户,0.0
lifecycle_stage_新客户,0.0
total_assets,3.7171109198676864
deposit_balance,3.5579960126255594
financial_balance,2.8106941499849944
fund_balance,3.8936280775516208
insurance_balance,4.422133150095123
product_count,0.486571598872663
investment_monthly_count,-0.6147133984007888
app_login_count,1.2935351315066823
app_financial_view_time,-0.262719718533071
financial_repurchase_count,-0.3695946105523208
credit_card_monthly_expense,1.58944967800826
asset_growth_rate,-0.8607910984747951
asset_mom_change,0.8019154384294375
asset_cumulative_growth,0.0600307822754675
total_assets_rolling_mean,4.08137249170306
total_assets_rolling_max,4.050567139392392
total_assets_rolling_std,1.44425309749064
financial_balance_rolling_mean,3.758713636168784
financial_balance_rolling_max,3.8574001031366087
financial_balance_rolling_std,4.091030978795884
fund_balance_rolling_mean,5.146886605192169
fund_balance_rolling_max,4.992154325364842
fund_balance_rolling_std,4.082742895750876
target_high_value,1
customer_id,0001406853e04c14b9f29703c9e46674
stat_month,2024-09
predicted_prob,0.960329507448983
predicted_class,1
actual_class,1
base_score,-3.4842863370189954
