,2
age,-1.0917573352506291
monthly_income,-0.9153747659136526
occupation_type_专业人士,0.0
occupation_type_事业单位,0.0
occupation_type_互联网从业者,1.0
occupation_type_企业高管,0.0
occupation_type_传统行业,0.0
occupation_type_私营业主,0.0
occupation_type_金融从业者,0.0
city_level_一线城市,1.0
city_level_二线城市,0.0
marriage_status_已婚,1.0
marriage_status_未婚,0.0
lifecycle_stage_价值客户,0.0
lifecycle_stage_忠诚客户,0.0
lifecycle_stage_成熟客户,0.0
lifecycle_stage_成长客户,0.0
lifecycle_stage_新客户,1.0
total_assets,-0.7973929578773724
deposit_balance,-0.7564935498800401
financial_balance,-0.788254387104008
fund_balance,-0.7908053538486162
insurance_balance,-0.7347347819635099
product_count,-0.709066578884659
investment_monthly_count,-0.6147133984007888
app_login_count,1.635598420489207
app_financial_view_time,1.357614264241257
financial_repurchase_count,-0.3695946105523208
credit_card_monthly_expense,0.1137940684300803
asset_growth_rate,6.5627321851919564
asset_mom_change,-0.4555467540750736
asset_cumulative_growth,-0.7191184174710336
total_assets_rolling_mean,-0.6513649987627538
total_assets_rolling_max,-0.6509506277682947
total_assets_rolling_std,-0.5128478986526407
financial_balance_rolling_mean,-0.6479787223567881
financial_balance_rolling_max,-0.6420837849981156
financial_balance_rolling_std,-0.5261554305469804
fund_balance_rolling_mean,-0.6546564570361485
fund_balance_rolling_max,-0.6508618927242225
fund_balance_rolling_std,-0.5364817522319654
target_high_value,0
customer_id,0007100c0acf4e80b4810ef490c18310
stat_month,2024-09
predicted_prob,0.008080457515797591
predicted_class,0
actual_class,0
base_score,-3.4842863370189954
